,uuid,score,community_name,published
0,D8S5WE4DRFLABLIU2H9Z6ZN9Z,47,computerscience,1527793240.0
1,CORRLIE9KCU78Y6B6LBQD9AJB,217,csuf,1588089788.0
2,B2W55KL7T1PNQGI6UMUU27RTJ,50345,news,1502142953.0
3,C36AVKV2LUFTCFSJRNTN8UZDJ,2107,Bitcoin,1514326588.0
4,BT1HOWG3R4MJ8D7CJ5AETK39Z,4180,Bitcoin,1523550621.0
5,DAGOKI05FR22KK9XT2M0QXXNB,42,csuf,1584605554.0
6,D1X5AESM2QJXRT6H43IIEQXLJ,66,csuf,1571993068.0
7,AYLQY0A93SDSS10X4HDI1SBKN,56204,news,1519644951.0
8,CUJAWNXATSUU7JLCBC0OTKQZB,116,computerscience,1511095297.0
9,CUJAWQHH5C3CG0MWPVYNA4WBB,115,computerscience,1585316789.0
10,BPOLDKXFT4JR4D0E0GJ1F8LNB,7206,Coronavirus,1584300479.0
11,DFA5ZLW2CN4PJ4HIV2A6BAJ6F,34,csuf,1568808924.0
12,CE4W83U24R08PH0VRH87TXL7B,705,Python,1547546048.0
13,C70PKJMQTFO5FBCE37XOTTFVB,1762,Python,1564763700.0
14,BWADML9T76RBAJQSURPLR0WBB,3249,Bitcoin,1583017616.0
15,BNUP4XXLICLEORDC6K41GWWWN,7805,Coronavirus,1586308650.0
16,C70PKMELNXID5X0N7QKB051G7,1692,Python,1567546852.0
17,CJ1M8HPWM494SEFVWVDJO0S5Z,454,computerscience,1575700637.0
18,C70PKJF2AH2FWQ3FX7Q4XF0RB,1764,Python,1571413302.0
19,CUJCJUF1XC1DE9DGA5KJ87ZBR,102,csuf,1575346231.0
20,BCZU0K0P0BZ3WXNO4SMRN0CK7,17723,Coronavirus,1586044373.0
21,CMKBF3256QW488YA5HJ74I6QF,375,Python,1520744160.0
22,CHCLR2UEYKIZOU5T2ET2U43VB,549,Python,1542588283.0
23,DFA5ZTCWSA8IMSRLGZ5P4YTNB,34,csuf,1583453056.0
24,C59MT760IQ9GURYKN24ZK9BIV,2030,Bitcoin,1513127508.0
25,AUEXD3JO9L8UPKJ1ODHI1I4YF,59273,news,1537928093.0
26,C36CIHBSY7A15WGWZSVIH4J2V,2065,Python,1545184199.0
27,DCB6VGC2ZYWKTW1CGI4GDA4K7,37,computerscience,1480199942.0
28,CUJAWT9BZTXK5ZPSS9JK9U5XZ,110,computerscience,1572921191.0
29,AWDNKLONRZ7D2ASBE4E6Z6JDJ,57591,news,1503610910.0
30,DDTMPK7RJBV1M96835MS2C13R,37,csuf,1584788748.0
31,CORRLMVKMJI34IDKAXWS338UV,198,computerscience,1583254957.0
32,D8S7JGK6UPBCOCBETFFIN2E1J,45,csuf,1543938505.0
33,D030E7TP9S3Y45IVWUEMHR05Z,72,computerscience,1573763159.0
34,B821AOV24E2DRM6DSVEPBF7H3,32092,Coronavirus,1584497152.0
35,CQHYNXWBPW6UE1Z3KW5USFSLZ,166,computerscience,1572833078.0
36,BEWXYVBSIHSAPJUK3XA3MXD3R,13876,Bitcoin,1512030327.0
37,C8KGGFS6L78RI63ICKXSWFTEF,1516,Python,1559807651.0
38,BZU9FV729WGZ4F5FENW4Y7ZPZ,2552,Bitcoin,1525079814.0
39,AJJ9FA3JSVCG4T8SRQGBH5TP3,101065,news,1581130130.0
40,D78JOB3IFZEE6YSIYMXBGAU1J,48,computerscience,1561506712.0
41,CQHYO72MD84BN9PEOUQQ3VWRB,146,csuf,1583936872.0
42,BPON0XLY6J7U9TE2W78M5I45Z,7073,Coronavirus,1586559787.0
43,BAOJHHFWM4QSIRD1QAYTPDAC7,26320,Bitcoin,1518938364.0
44,B2W6SCCYK9AA6EN9KQQOGM847,50000,Coronavirus,1583953261.0
45,DAGOKABMH5CJY2Z5CFK0UAK5Z,46,csuf,1507682739.0
46,AQDMUUN93N1HONOYK2KOBHC47,68939,news,1552770532.0
47,DGSHC3TTD3GVJW13SIJWQUOPJ,34,csuf,1553780675.0
48,DCB6VCA4ZPG3ZYUV64LD1MMXJ,44,computerscience,1556975583.0
49,AMAISZ4S6PG4IEEKKZT511E3B,81710,news,1578599441.0
50,B81ZNIDB0UVULCLTX5KADEH07,39001,Coronavirus,1588214181.0
51,BRFF6Z63RPRIY08S0NMCXF72V,6543,Bitcoin,1515739080.0
52,AWDNKO15KJU5RQZJQMZ3E8DXZ,57365,news,1519850034.0
53,CYBDE2E9BQ0NELB3IA4HFIP3R,79,computerscience,1583539204.0
54,C59OH0PCI2KJWHRQKUON8YKYF,1946,Bitcoin,1559611457.0
55,D8S7JK6RT1KEGJJ14HXTE6L5J,44,csuf,1584599815.0
56,D5S44JB00JLYT036IE7UX4VPZ,56,computerscience,1512877930.0
57,D8S5W7XMHK3QBQ1QERWBQR0RB,49,computerscience,1483416494.0
58,B2W55HLOFL9QGXS0SL2RCQX7B,50498,news,1568228266.0
59,CQHYNUP3TH57MN3YHMJ3WVTEF,170,computerscience,1534204725.0
60,BM29FFCAWYW952NMTPNFKX0UV,8594,Coronavirus,1585209963.0
61,DGSIZDB3U33BYYG4UNMM0MPHZ,33,csuf,1582987633.0
62,C8KGGHWZUT9UORTD4KRWLNV6F,1479,Python,1583542172.0
63,BRFGTYEOYKFYI8K44JEJVO0BB,6250,Bitcoin,1515958360.0
64,AWDNKR8DGYVSINOAY7QRDDEAF,57006,news,1554200887.0
65,CJ1KLGCI5NJM1P7DJB9ON4JH3,479,Python,1548265771.0
66,BAOJHFY4XEITVQWM7VVLX3HXZ,26955,Bitcoin,1511000757.0
67,DDTMPSJC2TDOSJS510F9DAJKN,38,computerscience,1583792898.0
68,BUM63CMKVAQBVFL7T2RIMGM8N,3410,Bitcoin,1543269268.0
69,DDTMPRGXG0D56XE50IN2FVXJR,38,csuf,1330503583.0
70,DCB6VN5VUQ79DVL9Y2E0CPXNB,40,computerscience,1510748590.0
71,BWAGWQKSFNEUYSFN62H48TTHZ,2904,Bitcoin,1512932571.0
72,CSFDXSWS5R1O3RTLK60J1E5XZ,132,computerscience,1585747466.0
73,B58TYBG5ZWGLZLP2NIGX9TM6V,49055,news,1459331363.0
74,BUM4G5HS6VQO5X65B20L8R91Z,3778,Bitcoin,1523328279.0
75,DJWU9F5U7Q6LR3VFYOQU69I8N,31,computerscience,1533023102.0
76,C59OGUAWP8HAE15GK3EKXWKUV,1982,Bitcoin,1572587005.0
77,BZUB2TKXCWQKMRDBD15BRM6QF,2439,Bitcoin,1380756269.0
78,BRFF6U1R4NAIIOIGBIOE2JVYV,6651,Coronavirus,1585300103.0
79,CAEPJQ6EJWJM1LH3MDAAD2PHZ,1008,Python,1496005652.0
80,C1K4C7I1EPEG7Y5JPWD7IQD1Z,2245,Bitcoin,1536876996.0
81,AYLU88D36QVK75GGUW0CWOOLZ,54772,Coronavirus,1587714259.0
82,BAOL4MFW0XPD2D9UUIS16F253,21220,Coronavirus,1585876805.0
83,CYBDE09G23ZK8NDER2RJQNF6F,78,computerscience,1564987091.0
